Freq_Hz,Freq_GHz,S21_dB,S11_dB
2168917836,2.1689,-14.5355,-0.1556
2176913828,2.1769,-14.6397,-0.1518
2184909820,2.1849,-14.7436,-0.1482
2192905812,2.1929,-14.8470,-0.1446
2200901804,2.2009,-14.9500,-0.1412
2208897796,2.2089,-15.0526,-0.1378
2216893788,2.2169,-15.1549,-0.1346
2224889780,2.2249,-15.2568,-0.1314
2232885772,2.2329,-15.3582,-0.1283
2240881764,2.2409,-15.4593,-0.1253
2248877756,2.2489,-15.5601,-0.1224
2256873747,2.2569,-15.6604,-0.1196
2264869739,2.2649,-15.7604,-0.1168
2272865731,2.2729,-15.8600,-0.1142
2280861723,2.2809,-15.9592,-0.1115
2288857715,2.2889,-16.0580,-0.1090
2296853707,2.2969,-16.1565,-0.1065
2304849699,2.3048,-16.2546,-0.1041
2312845691,2.3128,-16.3524,-0.1018
2320841683,2.3208,-16.4497,-0.0995
2328837675,2.3288,-16.5468,-0.0973
2336833667,2.3368,-16.6434,-0.0951
2344829659,2.3448,-16.7397,-0.0930
2352825651,2.3528,-16.8357,-0.0909
2360821643,2.3608,-16.9313,-0.0889
2368817635,2.3688,-17.0266,-0.0870
2376813627,2.3768,-17.1215,-0.0851
2384809619,2.3848,-17.2160,-0.0832
2392805611,2.3928,-17.3103,-0.0814
2400801603,2.4008,-17.4041,-0.0797
2408797595,2.4088,-17.4977,-0.0780
2416793587,2.4168,-17.5909,-0.0763
2424789579,2.4248,-17.6837,-0.0747
2432785571,2.4328,-17.7763,-0.0731
2440781563,2.4408,-17.8685,-0.0715
2448777555,2.4488,-17.9603,-0.0700
2456773547,2.4568,-18.0519,-0.0686
2464769539,2.4648,-18.1431,-0.0671
2472765531,2.4728,-18.2340,-0.0657
2480761523,2.4808,-18.3245,-0.0643
2488757515,2.4888,-18.4148,-0.0630
2496753507,2.4968,-18.5047,-0.0617
2504749499,2.5047,-18.5943,-0.0604
2512745491,2.5127,-18.6837,-0.0592
2520741483,2.5207,-18.7726,-0.0580
2528737475,2.5287,-18.8613,-0.0568
2536733467,2.5367,-18.9497,-0.0557
2544729459,2.5447,-19.0378,-0.0545
2552725451,2.5527,-19.1255,-0.0534
2560721443,2.5607,-19.2130,-0.0524
2568717435,2.5687,-19.3002,-0.0513
2576713427,2.5767,-19.3870,-0.0503
2584709419,2.5847,-19.4736,-0.0493
2592705411,2.5927,-19.5599,-0.0483
2600701403,2.6007,-19.6458,-0.0474
2608697395,2.6087,-19.7315,-0.0464
2616693387,2.6167,-19.8169,-0.0455
2624689379,2.6247,-19.9021,-0.0446
2632685371,2.6327,-19.9869,-0.0438
2640681363,2.6407,-20.0714,-0.0429
2648677355,2.6487,-20.1557,-0.0421
2656673347,2.6567,-20.2397,-0.0413
2664669339,2.6647,-20.3234,-0.0405
2672665331,2.6727,-20.4068,-0.0397
2680661323,2.6807,-20.4900,-0.0390
2688657315,2.6887,-20.5728,-0.0382
2696653307,2.6967,-20.6554,-0.0375
2704649299,2.7046,-20.7378,-0.0368
2712645291,2.7126,-20.8199,-0.0361
2720641283,2.7206,-20.9017,-0.0354
2728637275,2.7286,-20.9832,-0.0348
2736633267,2.7366,-21.0645,-0.0341
2744629259,2.7446,-21.1455,-0.0335
2752625251,2.7526,-21.2262,-0.0329
2760621242,2.7606,-21.3067,-0.0323
2768617234,2.7686,-21.3870,-0.0317
2776613226,2.7766,-21.4670,-0.0311
2784609218,2.7846,-21.5467,-0.0305
2792605210,2.7926,-21.6262,-0.0300
2800601202,2.8006,-21.7054,-0.0294
2808597194,2.8086,-21.7844,-0.0289
2816593186,2.8166,-21.8631,-0.0284
2824589178,2.8246,-21.9416,-0.0279
2832585170,2.8326,-22.0198,-0.0274
2840581162,2.8406,-22.0978,-0.0269
2848577154,2.8486,-22.1756,-0.0264
2856573146,2.8566,-22.2531,-0.0259
2864569138,2.8646,-22.3304,-0.0255
2872565130,2.8726,-22.4074,-0.0250
2880561122,2.8806,-22.4842,-0.0246
2888557114,2.8886,-22.5608,-0.0241
2896553106,2.8966,-22.6372,-0.0237
2904549098,2.9045,-22.7133,-0.0233
2912545090,2.9125,-22.7891,-0.0229
2920541082,2.9205,-22.8648,-0.0225
2928537074,2.9285,-22.9402,-0.0221
2936533066,2.9365,-23.0154,-0.0217
2944529058,2.9445,-23.0904,-0.0214
2952525050,2.9525,-23.1651,-0.0210
2960521042,2.9605,-23.2396,-0.0206
2968517034,2.9685,-23.3139,-0.0203
2976513026,2.9765,-23.3880,-0.0200
2984509018,2.9845,-23.4619,-0.0196
2992505010,2.9925,-23.5355,-0.0193
3000501002,3.0005,-23.6090,-0.0190
3008496994,3.0085,-23.6822,-0.0186
3016492986,3.0165,-23.7552,-0.0183
3024488978,3.0245,-23.8280,-0.0180
3032484970,3.0325,-23.9006,-0.0177
3040480962,3.0405,-23.9730,-0.0174
3048476954,3.0485,-24.0451,-0.0171
3056472946,3.0565,-24.1171,-0.0169
3064468938,3.0645,-24.1888,-0.0166
3072464930,3.0725,-24.2604,-0.0163
3080460922,3.0805,-24.3317,-0.0160
3088456914,3.0885,-24.4029,-0.0158
3096452906,3.0965,-24.4738,-0.0155
3104448898,3.1044,-24.5446,-0.0153
3112444890,3.1124,-24.6151,-0.0150
3120440882,3.1204,-24.6855,-0.0148
3128436874,3.1284,-24.7556,-0.0146
3136432866,3.1364,-24.8256,-0.0143
3144428858,3.1444,-24.8953,-0.0141
3152424850,3.1524,-24.9649,-0.0139
3160420842,3.1604,-25.0343,-0.0136
3168416834,3.1684,-25.1034,-0.0134
3176412826,3.1764,-25.1724,-0.0132
3184408818,3.1844,-25.2412,-0.0130
3192404810,3.1924,-25.3098,-0.0128
3200400802,3.2004,-25.3783,-0.0126
3208396794,3.2084,-25.4465,-0.0124
3216392786,3.2164,-25.5146,-0.0122
3224388778,3.2244,-25.5824,-0.0120
3232384770,3.2324,-25.6501,-0.0118
3240380762,3.2404,-25.7176,-0.0117
3248376754,3.2484,-25.7850,-0.0115
3256372745,3.2564,-25.8521,-0.0113
3264368737,3.2644,-25.9191,-0.0111
3272364729,3.2724,-25.9859,-0.0110
3280360721,3.2804,-26.0525,-0.0108
3288356713,3.2884,-26.1189,-0.0106
3296352705,3.2964,-26.1852,-0.0105
3304348697,3.3043,-26.2513,-0.0103
3312344689,3.3123,-26.3172,-0.0102
3320340681,3.3203,-26.3829,-0.0100
3328336673,3.3283,-26.4485,-0.0098
3336332665,3.3363,-26.5139,-0.0097
3344328657,3.3443,-26.5791,-0.0096
3352324649,3.3523,-26.6442,-0.0094
3360320641,3.3603,-26.7091,-0.0093
3368316633,3.3683,-26.7738,-0.0091
3376312625,3.3763,-26.8383,-0.0090
3384308617,3.3843,-26.9027,-0.0089
3392304609,3.3923,-26.9670,-0.0087
3400300601,3.4003,-27.0310,-0.0086
3408296593,3.4083,-27.0949,-0.0085
3416292585,3.4163,-27.1587,-0.0084
3424288577,3.4243,-27.2222,-0.0082
3432284569,3.4323,-27.2857,-0.0081
3440280561,3.4403,-27.3489,-0.0080
3448276553,3.4483,-27.4120,-0.0079
3456272545,3.4563,-27.4750,-0.0078
3464268537,3.4643,-27.5377,-0.0077
3472264529,3.4723,-27.6004,-0.0076
3480260521,3.4803,-27.6628,-0.0074
3488256513,3.4883,-27.7252,-0.0073
3496252505,3.4963,-27.7873,-0.0072
3504248497,3.5042,-27.8493,-0.0071
3512244489,3.5122,-27.9112,-0.0070
3520240481,3.5202,-27.9729,-0.0069
3528236473,3.5282,-28.0345,-0.0068
3536232465,3.5362,-28.0959,-0.0067
3544228457,3.5442,-28.1571,-0.0066
3552224449,3.5522,-28.2182,-0.0066
